time,aswdifd_s,aswdir_s,t_2m,t_g
2015-08-05 12,113.30637168884277,744.34374904632568,300.73983764648438,304.79827880859375
2015-08-05 13,109.03926658630371,667.34374964237213,301.15988159179688,304.68667602539062
2015-08-05 14,102.12679672241211,548.5312488079071,301.38330078125,304.326904296875
2015-08-05 15,91.709724426269531,398.4062514603138,301.33926391601562,303.6678466796875
2015-08-05 16,77.063556671142578,233.71874929219484,300.923095703125,302.56643676757812
2015-08-05 17,54.718753814697266,85.718748643994331,300.17501831054688,301.4385986328125
2015-08-05 18,16.624967575073242,6.7656239345669746,299.2081298828125,300.14691162109375
2015-08-05 19,0.015657424926757812,-0.078122437000274658,298.37179565429688,299.42657470703125
2015-08-05 20,0.023428916931152344,0.062499463558197021,297.78036499023438,298.80789184570312
2015-08-05 21,0.023423194885253906,-0.046873897314071655,297.34048461914062,298.26376342773438
2015-08-05 22,-0.031252861022949219,0.0078120678663253784,296.64126586914062,297.83230590820312
2015-08-05 23,-0.015599250793457031,0.039058968424797058,295.75552368164062,297.62045288085938
2015-08-06 00,0.021098136901855469,-0.0078090429306030273,295.0455322265625,297.28457641601562
2015-08-06 01,-0.0082101821899414062,0.023432739078998566,294.93997192382812,297.1051025390625
2015-08-06 02,0.021475791931152344,-0.062495477497577667,293.96929931640625,297.03521728515625
2015-08-06 03,-0.047097206115722656,-0.015628218650817871,293.43020629882812,296.87051391601562
2015-08-06 04,17.716554641723633,7.6250029802322388,293.15829467773438,297.27792358398438
2015-08-06 05,55.531082153320312,86.796873908489943,294.26284790039062,298.78689575195312
2015-08-06 06,77.258056640625,230.69531321153045,295.93386840820312,300.28793334960938
2015-08-06 07,94.594766616821289,391.30468871444464,297.49639892578125,301.8807373046875
2015-08-06 08,102.8383846282959,542.80859419889748,299.327880859375,303.5047607421875
2015-08-06 09,109.59087181091309,661.23827863298357,301.12991333007812,304.74386596679688
2015-08-06 10,113.95516777038574,737.07031448930502,302.55838012695312,305.34628295898438
