0.00,100.00,101.00,102.00,103.00,104.00,105.00,106.00,107.00,108.00
1438732800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438736400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438740000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438743600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1438747200.00,38.06,63.77,15.86,122.23,213.64,124.88,124.88,36.74,29.61
1438750800.00,283.42,476.42,118.57,913.14,1596.11,932.99,932.99,272.93,212.31
1438754400.00,1145.17,1952.15,494.40,3741.62,6540.13,3822.95,3822.95,1094.27,686.65
1438758000.00,2546.03,4356.08,1108.28,8349.16,14593.85,8530.66,8530.66,2427.93,1423.87
1438761600.00,4390.48,7515.86,1913.37,14405.40,25179.82,14718.56,14718.56,4185.49,2414.67
1438765200.00,6590.21,11275.78,2868.37,21611.91,37776.40,22081.74,22081.74,6284.05,3625.41
1438768800.00,8988.15,15362.81,3902.31,29445.39,51468.89,30085.51,30085.51,8575.14,4994.49
1438772400.00,11415.16,19485.10,4940.08,37346.43,65279.46,38158.31,38158.31,10898.18,6447.56
1438776000.00,13725.61,23392.38,5917.52,44835.40,78369.75,45810.08,45810.08,13114.62,7910.15
1438779600.00,15777.27,26840.79,6772.31,51444.84,89922.68,52563.21,52563.21,15088.91,9302.87
1438783200.00,17434.47,29599.57,7446.24,56732.50,99165.22,57965.82,57965.82,16691.29,10541.78
1438786800.00,18594.68,31499.74,7898.79,60374.49,105531.21,61686.98,61686.98,17822.15,11542.37
1438790400.00,19237.67,32521.20,8130.35,62332.30,108953.35,63687.35,63687.35,18458.12,12237.21
1438794000.00,19454.60,32844.71,8195.90,62952.35,110037.16,64320.88,64320.88,18678.97,12575.13
1438797600.00,19478.03,32890.64,8209.85,63040.39,110191.05,64410.84,64410.84,18699.71,12608.67
1438801200.00,19478.03,32890.64,8209.85,63040.39,110191.05,64410.84,64410.84,18699.71,12608.67
1438804800.00,19478.03,32890.64,8209.85,63040.39,110191.05,64410.84,64410.84,18699.71,12608.67
1438808400.00,19478.03,32890.64,8209.85,63040.39,110191.05,64410.84,64410.84,18699.71,12608.67
1438812000.00,19478.03,32890.64,8209.85,63040.39,110191.05,64410.84,64410.84,18699.71,12608.67
